moment,data,sim,diff,pct_gap,loss_contrib
A_pi_pi,0.392493410918003,0.109047415506982,-0.283445995411021,-72.2167525686785,0.0803416323145444
A_pi_y,-0.00133074365765745,0.0498402567728747,0.0511710004305321,3845.29357972744,0.00261847128506152
A_y_pi,0.327812097562918,1.61511421346055,1.28730211589764,392.695121829835,1.65714673759453
A_y_y,0.851663804657101,0.542456513125356,-0.309207291531745,-36.3062619123797,0.0956091491363974
S_pi_pi,59.0769387478339,50.2238791617947,-8.85305958603924,-14.9856437616511,78.3766640339612
S_y_pi,2.95782815600959,1.4043103293358,-1.5535178266738,-52.5222475659183,2.41341763779327
S_y_y,0.974678613431656,2.24950763825581,1.27482902482416,130.794808386708,1.62518904253411
var_pi,71.6841809314321,63.0279822922395,-8.65619863919264,-12.0754656420955,74.9297748811605
var_y,3.36922884336345,3.88283708384187,0.513608240478426,15.2440889104374,0.263793424687344
var_r,130.655150549185,75.4789120829293,-55.1762384662554,-42.2304350301785,3044.41729128508
cov_pi_y_0,5.73015340367257,6.02959457935868,0.299441175686102,5.22570958561395,0.089665017696275
